product_name,date,price,quantity_sold
Tshirt,2025-06-01,499,12
Tshirt,2025-06-02,499,15
Tshirt,2025-06-03,499,18
Tshirt,2025-06-04,499,22
Tshirt,2025-06-05,499,25
Tshirt,2025-06-06,499,28
Tshirt,2025-06-07,499,32

Watch,2025-06-01,1999,8
Watch,2025-06-02,1999,7
Watch,2025-06-03,1999,6
Watch,2025-06-04,1999,5
Watch,2025-06-05,1999,4
Watch,2025-06-06,1999,3
Watch,2025-06-07,1999,2

Shoes,2025-06-01,1499,10
Shoes,2025-06-02,1499,12
Shoes,2025-06-03,1499,11
Shoes,2025-06-04,1499,13
Shoes,2025-06-05,1499,12
Shoes,2025-06-06,1499,14
Shoes,2025-06-07,1499,13

Headphones,2025-06-01,2499,5
Headphones,2025-06-02,2499,8
Headphones,2025-06-03,2499,10
Headphones,2025-06-04,2499,13
Headphones,2025-06-05,2499,15
Headphones,2025-06-06,2499,18
Headphones,2025-06-07,2499,20
